"website","url","latitude","longitude","country","province","city","address","road_margin","schedule","company","sales_type","fuel_type","fuel_price","last_update_date","insert_date"
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/6158,28.954556,-13.632278,ES,PALMAS (LAS),TIAS,"CARRETERA CR LZ-2 ARRECIFE-YAIZA,P.K.6,7KM KM. 6,7",I,L-D: 07:00-22:00,SPL,P,SP95,1.336,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/9632,43.278472,-1.98425,ES,GIPUZKOA,HERNANI,AUTOPISTA AP-8 KM. 22,I,L-D: 24H,REPSOL,P,GNC,1.159,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/8934,38.559639,-6.076389,ES,BADAJOZ,HORNACHOS,CTRA. PUEBLA DE LA REINA S/N,D,L-D: 24H,SDAD.COOP.LIMT. DE HORNACHOS,A,GB,1.165,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18630,41.635083,-4.784389,ES,VALLADOLID,ZARATAN,"AVENIDA RAMON Y CAJAL, S/N",D,L-D: 24H,DST,A,GA,1.479,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/12122,37.507417,-6.074583,ES,SEVILLA,GUILLENA,CARRETERA N-630 KM. 798,I,L-D: 06:00-22:00,REPSOL,P,SP98,1.789,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/5129,40.376694,-3.8725,ES,MADRID,VILLAVICIOSA DE ODON,"CARRETERA M-50 KM. 66,5",D,L-D: 24H,REPSOL,P,SP95,1.659,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/19225,39.289361,-0.514444,ES,VALENCIA / VALÈNCIA,ALFARP,"CARRETERA CATADAU-BENIFAIO KM. 5,8",D,L-D: 24H,BAR / E.S. ALTAMAR J.A.,P,GA,1.499,2023-11-14,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18248,40.445194,-3.68475,ES,MADRID,MADRID,"PLAZA REPUBLICA ARGENTINA, 8",D,L-V: 07:00-21:45; S: 08:15-13:45,REPSOL,P,SP95,1.679,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/15065,39.563583,-1.212861,ES,VALENCIA / VALÈNCIA,UTIEL,CARRETERA N-3 KM. 262,D,L-V: 06:00-22:00,REPSOL,P,GLP,1.185,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/11601,39.847806,-0.493972,ES,CASTELLÓN / CASTELLÓ,SEGORBE,"AVENIDA ESPAÑA, 181",N,L-V: 06:00-22:00; S-D: 07:00-22:00,GEST,P,GA,1.619,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/7733,38.90225,-0.419972,ES,VALENCIA / VALÈNCIA,POBLA DEL DUC (LA),"CARRETERA VV-1022 KM. 9,2",I,L-V: 06:00-22:00; S-D: 24H,CEPSA,P,GA+,1.739,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/5921,42.072667,-7.732,ES,OURENSE,XINZO DE LIMIA,"CARRETERA CRTA. N-525, KM.199.4 KM. 199,4",I,L-D: 07:00-23:00,REPSOL,P,GA,1.649,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/17929,37.214917,-3.591056,ES,GRANADA,JUN,CR CTRA 7 GRANADA-ALFACAR S/N,N,L: 07:00-23:00,BP AUTO-GREEN (JUN),P,SP95,1.609,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/8151,41.761111,-1.149389,ES,ZARAGOZA,ALAGON,AUTOVIA A-68 KM. 265,I,L-D: 06:00-22:30,REPSOL,P,GA,1.619,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/1543,39.595861,2.637917,ES,BALEARS (ILLES),PALMA,"CAMINO REIS, S/N",I,L-S: 06:00-23:59; D: 06:00-22:00,REPSOL,P,SP95,1.679,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18439,37.311583,-6.242,ES,SEVILLA,AZNALCAZAR,CARRETERA A-473 KM. 1,N,L-S: 06:00-23:00; D: 08:00-23:00,AGLA AZNALCAZAR,P,GA+,1.579,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18241,40.298556,-3.823139,ES,MADRID,FUENLABRADA,"CALLE ENEBRO, 17",D,L-D: 24H,PLENOIL,P,SP95,1.479,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/15991,41.214861,-2.292056,ES,SORIA,ARCOS DE JALON,"POLIGONO POLIGONO INDUSTRIAL LA MALITA-PARC. 15 Y 32, 167",D,L-V: 24H; S-D: 00:00-16:00,GHC SORIA,P,GA,1.359,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/12783,28.079333,-16.737889,ES,SANTA CRUZ DE TENERIFE,FAÑABE,"URBANIZACIÓN SAN EUGENIO, PLAYA DE LAS AMERICAS",N,L-D: 08:00-17:30,DISA,P,SP95,1.373,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/7766,39.478722,-0.569667,ES,VALENCIA / VALÈNCIA,RIBA-ROJA DE TURIA,"CALLE MALLORCA, S,N",N,L-D: 24H,GALP,P,SP98,1.589,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/7855,39.462944,-0.354472,ES,VALENCIA / VALÈNCIA,VALENCIA,"CL BALEARES, 20",D,L-D: 24H,REPSOL,P,GA,1.629,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/19944,38.234972,-1.700306,ES,MURCIA,CALASPARRA,"CALLE TENIENTE FLOMESTA, 86",D,L: 06:00-22:00,BP,P,SP98,1.761,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/21086,37.307306,-6.732889,ES,HUELVA,LUCENA DEL PUERTO,"CALLE CAMINO DE LAS COLMENILLAS, S/N",D,L: 06:00-22:00,COSTAOIL,P,GB,1.093,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18591,43.164944,-2.620333,ES,BIZKAIA,DURANGO,CARRETERA ELORRIO KM. S/N,N,L-S: 06:00-22:20; D: 08:00-22:00,ALCAMPO,P,GA,1.425,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/12821,41.677167,-0.957889,ES,ZARAGOZA,UTEBO,AUTOPISTA A-68 KM. 246,D,L-V: 07:00-21:00; S: 08:00-15:00,REPSOL,P,GA,1.629,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/13318,28.125444,-16.740778,ES,SANTA CRUZ DE TENERIFE,ADEJE,"PG IND. BARRANCO LAS TORRES, P7-S9, S/N",N,L-D: 24H,BP LA ATALAYA,P,GA+,1.392,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/12550,38.617861,-1.109361,ES,MURCIA,YECLA,CARRETERA MU-424 KM. 31,I,L-D: 06:00-22:00,REPSOL,P,GA+,1.679,2023-11-21,2023-11-22
